""","X","username","description","hand.label_simplified"
"1",28,"CASatUSF","With 23 academic departments & 14 research centers/institutes, the College of Arts & Sciences is the intellectual heart of the University of South Florida.","acad"
"2",70,"UTMSI","UTMSI is a department of the University of Texas and is dedicated to research, education, and outreach of marine and coastal environments.","acad"
"3",195,"MelissaFinucane","Snr Social and Behavioral Scientist @RANDCorporation; Snr Fellow @EastWestCenter; Adjunct Assoc Professor @CarnegieMellon. Opinions my own, RTs not endorsements","acad"
"4",374,"luluonti","Ecologista y solidaria. #PeaceAndLove   #FreePalestine 
#BlackLivesMatter  #Justice     Educ. y Psic.  Autora de ""Mujeres en Rebeldía"" 
https://t.co/wT21GJdrUC","acad"
"5",592,"JayLochrie","Lover of Life, Humanist, Every Day is a Gift, Progressive, Physician, #Atheist, MolecularBiologist, #DogsRock, #BlackLivesMatter, #TheResistance ; No Lists!!!","acad"
"6",728,"Socialism4Jobs","Member @CNDuk @unitetheunion @RSPCA_official @TheGreenParty @AnimalAid @LeagueACS Volunteer @CatsProtection Cycling
#science 🔬#Vegan 🥕#physics is everything😀","other"
"7",804,"TBro_6and12","Ret Int’l supply chain exec. Forester, naturalist, folksinger, fmr vol FF/EMT 
SUNY-ESF (Forestry), Duke (MBA), Mich St (Forest Carbon Science) #Forests4Climate","other"
"8",820,"biirdberry","Utility Player 🎲 Astrologer ♈️☀️♊️🌅♒️🌙 Taxidermist 🦌 Wilderness First Responder ⛑ B.S Biology 🧬 Philoso-fae 🧚‍♂️","other"
"9",1047,"SueJOD","Live on an island. Think climate change is real and scary. Retired biologist and engineer.","other"
"10",1124,"empathy1st1","Educator B.Ed., B.F.A., M.A., CDPPD

#COVIDisAirborne
#Climate
#EndGunViolence
#UniversalHealthcare
#BlackLivesMatter
#IndigenousAlly","acad"
"11",1289,"LoriAnnBurd","Environmental Health Director, Center for Biological Diversity. Prolific vegetable eater. Also, a long walk taker, lawyer, gardener, eco-feminist & bug lover.","other"
