acc_type,words,count
gov,alabama,1
gov,amp,1
gov,area,2
gov,august,1
gov,block,1
gov,bound,1
gov,charge,1
gov,clean,1
gov,contamination,1
gov,continue,1
gov,disparage,1
gov,drain,1
gov,dry,1
gov,environmental,1
gov,establishment,1
gov,extra,1
gov,food,1
gov,fse,1
gov,gallon,1
gov,grease,1
gov,great,1
gov,guess,1
gov,include,1
gov,info,1
gov,july,1
gov,jurisdictional,1
gov,kriseman,1
gov,late,1
gov,leader,1
gov,level,1
gov,line,1
gov,maintain,1
gov,man,1
gov,mayor,1
gov,mid,1
gov,multi,1
gov,nasty,1
gov,night,1
gov,nokomis,1
gov,outlet,1
gov,peter,1
gov,petersburg,1
gov,problem,1
gov,rain,1
gov,remark,1
gov,repair,1
gov,sends,1
gov,service,1
gov,sewageleak,1
gov,state,1
gov,surround,1
gov,team,2
gov,trap,1
gov,unable,1
gov,water,1
gov,weather,1
gov,weekend,1
gov,wetland,1
gov,work,1
gov,write,1
