acc_type,words,count
media,12p,1
media,accidental,1
media,address,1
media,advisory,1
media,alarm,1
media,alarmist,2
media,amp,1
media,area,1
media,aug,2
media,billion,1
media,bob,1
media,body,1
media,bout,2
media,break,1
media,bring,1
media,cape,2
media,carolina,2
media,cause,1
media,city,3
media,close,2
media,colorful,1
media,concern,1
media,confirm,2
media,contact,1
media,continue,4
media,contractor,1
media,coronavirus,1
media,correction,2
media,cotee,1
media,country,1
media,covid,1
media,crest,2
media,crisis,2
media,dangerous,1
media,deal,1
media,defines,1
media,dozen,2
media,envirowaste,2
media,expect,2
media,fayetteville,2
media,fear,2
media,fine,1
media,gallon,3
media,great,1
media,ground,2
media,health,1
media,help,2
media,hubbard,1
media,hundred,1
media,idea,1
media,inadveently,1
media,interview,1
media,issue,2
media,june,1
media,late,4
media,level,1
media,lift,1
media,management,2
media,manager,1
media,million,1
media,morning,1
media,municipality,1
media,mystery,1
media,nearby,1
media,official,1
media,ongoing,1
media,online,1
media,pa,1
media,paially,1
media,peak,1
media,pipe,1
media,post,1
media,rainstor,1
media,reach,1
media,repos,2
media,researcher,1
media,rise,2
media,run,1
media,saga,1
media,shithole,1
media,sound,1
media,state,1
media,station,2
media,storm,2
media,story,2
media,street,1
media,time,1
media,today,2
media,treat,1
media,turn,2
media,waste,2
media,water,6
media,wednesday,2
media,work,1
media,worker,2
media,wwsb,1
media,yrs,1
