acc_type,words,count
other,1m,1
other,20m,1
other,28m,3
other,2nd,2
other,400k,1
other,4thofjuly,3
other,5mg,1
other,7yrs,1
other,80s,1
other,92m,1
other,abandon,1
other,absolutely,2
other,absorb,1
other,abt,1
other,accept,1
other,accidental,3
other,accululated,1
other,action,1
other,activity,1
other,add,4
other,address,1
other,adequately,1
other,advise,2
other,advisory,1
other,age,6
other,ago,3
other,agree,1
other,ahead,3
other,aicle,2
other,aide,2
other,aim,1
other,airline,1
other,aka,1
other,ale,1
other,algae,8
other,allow,2
other,alls,1
other,alot,1
other,altho,1
other,amazes,1
other,amount,1
other,amp,8
other,angler,1
other,answer,2
other,apathy,1
other,appeal,1
other,appoint,2
other,aquatic,1
other,aquifer,2
other,area,13
other,arrest,3
other,as,1
other,asap,1
other,ask,2
other,asteroid,1
other,attack,1
other,attention,1
other,attractive,1
other,avenge,1
other,avid,1
other,avoid,1
other,aware,1
other,awful,1
other,awork,3
other,backfield,1
other,bacteria,4
other,bad,5
other,ball,1
other,baltic,1
other,ban,3
other,base,1
other,beak,1
other,bear,2
other,beaureucrats,1
other,beautiful,2
other,bed,1
other,begin,8
other,big,5
other,billion,1
other,bird,2
other,biscayne,1
other,bit,1
other,blah,2
other,blame,3
other,bless,1
other,block,1
other,bloom,8
other,bloviate,1
other,blue,1
other,bluster,1
other,boca,1
other,body,3
other,book,1
other,bore,1
other,born,1
other,brady,1
other,brand,3
other,break,5
other,bridge,1
other,bring,1
other,broken,9
other,broward,1
other,btw,5
other,buccaneer,1
other,bucs,1
other,buddy,2
other,budget,1
other,bug,1
other,build,1
other,buildbackbetterfl,3
other,builder,1
other,building,1
other,bunch,1
other,burst,2
other,bypass,2
other,call,1
other,calm,1
other,campaign,3
other,canal,1
other,cancer,1
other,capacity,1
other,captain,1
other,care,1
other,carelessness,1
other,case,3
other,casual,1
other,catch,5
other,cause,2
other,cbd,1
other,ceainly,2
other,center,1
other,centralize,1
other,century,1
other,cesspool,1
other,challenge,1
other,champion,3
other,change,3
other,characterization,1
other,charger,1
other,check,1
other,cheeto,1
other,chemical,1
other,chicago,2
other,choose,1
other,chronic,1
other,ciega,1
other,citation,1
other,cite,1
other,city,18
other,cityofbradenton,1
other,claim,1
other,class,1
other,clean,6
other,cleaner,1
other,cleanup,2
other,cleanwater,1
other,climate,2
other,climatecrisis,3
other,close,3
other,closed,1
other,closely,1
other,closure,1
other,coast,1
other,collapse,1
other,collect,1
other,color,1
other,condescend,1
other,condo,1
other,confirmed,1
other,confirms,1
other,congress,2
other,congressional,2
other,congressman,1
other,constitution,1
other,contaminated,2
other,continue,3
other,contractor,1
other,contribute,2
other,contronction,1
other,conversation,1
other,cool,1
other,coontie,1
other,cop,2
other,core,1
other,corona,1
other,coronavirus,3
other,corporate,1
other,correct,2
other,correlate,1
other,corrupt,2
other,cost,1
other,cou,2
other,council,4
other,country,2
other,covid,2
other,covidtracking,1
other,crap,2
other,crash,1
other,create,4
other,creeks,1
other,crew,1
other,crime,1
other,criminal,1
other,crisis,5
other,critical,1
other,crucial,1
other,crumble,1
other,curious,1
other,current,2
other,cycad,1
other,cycads,1
other,dam,1
other,dan,1
other,danger,1
other,dangerous,3
other,day,12
other,dead,2
other,deadly,1
other,deal,3
other,dec,1
other,deceive,1
other,december,1
other,deception,1
other,decision,1
other,declare,1
other,dedication,1
other,deep,1
other,degree,1
other,delete,1
other,dem,2
other,democrat,5
other,depament,5
other,deregathons,3
other,desatan,1
other,deserve,1
other,design,1
other,designate,2
other,determine,1
other,development,2
other,die,1
other,difference,1
other,difficult,1
other,directly,1
other,disaster,2
other,disgust,2
other,disgusting,1
other,disingenuous,1
other,dissolve,1
other,distract,1
other,dive,1
other,diversion,1
other,diversity,2
other,diy,1
other,dolphin,1
other,dolt,1
other,dome,1
other,donate,1
other,dont,1
other,doubt,1
other,downtown,1
other,drain,1
other,drainage,1
other,drastically,2
other,dredge,3
other,dress,1
other,drive,1
other,drone,1
other,dude,1
other,dugout,1
other,dunno,1
other,eah,1
other,eamon,2
other,earn,1
other,eat,9
other,eater,1
other,ecosystems,2
other,efficacy,1
other,elect,3
other,electric,1
other,elevate,1
other,elevation,1
other,email,2
other,emergency,2
other,emphasize,1
other,emphatic,2
other,enforcement,1
other,engels,1
other,engineer,2
other,entergy,1
other,entire,6
other,environment,4
other,environmental,12
other,erase,2
other,estimate,3
other,estuary,4
other,euphemism,1
other,evacuate,1
other,evaluate,1
other,even,1
other,evidence,1
other,excellent,2
other,excess,1
other,expand,2
other,expect,1
other,experiment,1
other,extinction,1
other,extra,3
other,facebook,1
other,facility,2
other,fact,1
other,family,2
other,farm,1
other,farmland,1
other,fasciitis,1
other,faucet,1
other,fault,1
other,fdep,1
other,fear,1
other,feather,1
other,feature,1
other,fed,1
other,fee,1
other,feilizer,1
other,feilizers,1
other,felon,1
other,felony,2
other,field,1
other,figure,1
other,file,2
other,fill,2
other,finally,2
other,fine,4
other,fish,14
other,fisherman,1
other,fishing,1
other,fit,1
other,fix,1
other,float,1
other,flood,2
other,floor,1
other,floridasewage,1
other,floridian,1
other,flow,3
other,flu,1
other,flush,3
other,follow,1
other,fond,1
other,footage,1
other,force,2
other,forest,1
other,form,8
other,formally,2
other,foul,1
other,foundation,1
other,frederick,1
other,french,1
other,friend,2
other,fund,2
other,funny,1
other,fwc,2
other,gallon,49
other,game,1
other,garbage,1
other,garden,1
other,gardening,1
other,garney,1
other,gaslight,1
other,gaters,1
other,generic,1
other,geology,1
other,giant,1
other,glad,1
other,gloat,1
other,god,1
other,gon,1
other,good,7
other,goodness,1
other,google,1
other,gop,2
other,gopher,1
other,gov,1
other,government,1
other,governor,1
other,gps,1
other,gqp,3
other,grant,1
other,grass,1
other,gratify,1
other,great,2
other,green,1
other,grid,1
other,groundwater,1
other,group,4
other,grow,1
other,guess,2
other,gulfpo,1
other,guy,3
other,gypsum,2
other,ha,1
other,hand,1
other,handle,2
other,happen,4
other,harbor,1
other,harm,2
other,hat,1
other,haul,1
other,hea,1
other,head,2
other,health,2
other,hear,1
other,heat,1
other,helmet,2
other,help,1
other,hermine,1
other,hey,3
other,high,3
other,highland,1
other,highlandpark,1
other,hill,1
other,history,3
other,hit,1
other,hold,3
other,home,2
other,homeless,1
other,hook,1
other,hope,1
other,horrible,1
other,hot,1
other,howdy,1
other,huge,1
other,human,16
other,hundred,1
other,huntershkolnik,1
other,huston,1
other,idea,5
other,ideal,2
other,idealist,1
other,idiot,1
other,ignorance,1
other,ignorant,1
other,ignore,2
other,illegal,2
other,immune,1
other,impact,2
other,implies,1
other,impoant,1
other,improve,3
other,improvement,1
other,inadveently,1
other,inch,1
other,include,5
other,incredible,1
other,industrial,4
other,industry,1
other,infrastructure,15
other,injection,1
other,inmate,1
other,inspect,2
other,interested,3
other,intrusion,1
other,investigates,1
other,inviting,2
other,irate,1
other,irrigation,1
other,isnt,1
other,issue,8
other,jail,1
other,jen,1
other,jfc,1
other,job,4
other,join,1
other,judge,1
other,july,1
other,jun2021,1
other,june,9
other,key,7
other,kid,2
other,kill,6
other,know,1
other,kreisman,1
other,kriseman,4
other,lagoon,1
other,lakeforest,1
other,land,3
other,lane,2
other,large,6
other,late,3
other,lauderdale,2
other,law,1
other,lawsuit,3
other,lead,2
other,leadership,5
other,leaky,3
other,learn,4
other,leave,2
other,leftist,2
other,legacy,1
other,legislation,1
other,lemon,1
other,level,8
other,liberal,2
other,life,2
other,lift,1
other,like,2
other,limit,1
other,liter,1
other,literally,3
other,live,7
other,livestock,2
other,load,3
other,local,5
other,log,1
other,lol,4
other,long,3
other,longboat,6
other,longtime,3
other,lose,1
other,loss,1
other,lot,7
other,love,2
other,lucky,1
other,luther,1
other,maga,1
other,main,2
other,major,2
other,make,1
other,malfunction,1
other,man,3
other,management,1
other,manatee,19
other,marina,1
other,mass,2
other,massive,7
other,mayhem,1
other,mayor,12
other,mean,2
other,meant,1
other,mechanical,1
other,med,1
other,memory,2
other,mention,1
other,mess,3
other,message,1
other,metaphor,3
other,metropolis,1
other,mgd,1
other,miami,3
other,microbubbles,1
other,mildly,1
other,mile,2
other,million,5
other,millons,2
other,mind,2
other,misdemeanor,2
other,mismanagement,1
other,mix,1
other,mixed,1
other,mmmm,1
other,money,1
other,monies,1
other,monitor,1
other,month,2
other,moral,1
other,mosaic,1
other,mouth,1
other,move,3
other,muck,8
other,municipality,2
other,na,3
other,national,3
other,natural,1
other,nature,1
other,nauseating,8
other,navy,1
other,nearby,2
other,necrotizing,1
other,nerd,1
other,neva,1
other,nfl,1
other,nice,1
other,nite,1
other,noh,3
other,nohbrook,1
other,norm,1
other,note,1
other,number,2
other,nursery,1
other,nutrient,1
other,oakland,1
other,oaks,1
other,observation,1
other,obstruct,1
other,occur,1
other,octopus,1
other,odd,1
other,offender,3
other,official,4
other,offs,1
other,ofwat,1
other,omg,2
other,ominous,1
other,onev1,11
other,ongoing,1
other,open,2
