acc_type,word,n,tf,idf,tf_idf
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",bay,322.666563985226,[0.         0.34736522 0.26495591 ... 0.30290778 0.         0.        ],1.5998350034182933,[0.         0.55572704 0.42388574 ... 0.48460247 0.         0.        ]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",catastrophe,173.52713805687978,[0.         0.         0.         ... 0.         0.         0.87032609],2.5594761761660623,[0.         0.         0.         ... 0.         0.         2.22757888]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",glazer,189.64985819351028,[0. 0. 0. ... 0. 0. 0.],2.556316615875694,[0. 0. 0. ... 0. 0. 0.]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",glazersout,195.38449391850216,[0.65795666 0.         0.3937787  ... 0.45018295 0.         0.        ],2.3776821846705483,[1.56441183 0.         0.93628059 ... 1.07039198 0.         0.        ]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",greed,147.91346368442163,[0.         0.         0.         ... 0.51368983 0.         0.        ],2.7130995688732735,[0.         0.         0.         ... 1.39369167 0.         0.        ]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",gulf,191.8660019949137,[0. 0. 0. ... 0. 0. 0.],2.4745767323795764,[0. 0. 0. ... 0. 0. 0.]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",oil,357.03529646233625,[0.40077216 0.31445985 0.23985705 ... 0.2742138  0.         0.49247589],1.4482851052910926,[0.58043235 0.45542752 0.34738139 ... 0.39713976 0.         0.7132455 ]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",spill,221.48003164527594,[0.63755369 0.50024691 0.76313556 ... 0.43622296 0.         0.        ],2.3039512153488126,[1.4688926  1.15254448 1.7582271  ... 1.00503641 0.         0.        ]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",surprise,235.0893086002627,[0.         0.48139886 0.36719126 ... 0.41978717 0.         0.        ],2.2171441075867344,[0.         1.06733065 0.81411594 ... 0.93072865 0.         0.        ]
"['awsproject' 'oosenam' 'iamsharpe' ... 'LeChatNoire4' 'boxdog1031'
 'BrujaAnon']",tampa,193.36046595592802,[0.         0.54631544 0.         ... 0.         0.         0.        ],2.516125735292449,[0.         1.37459835 0.         ... 0.         0.         0.        ]
