Unnamed: 0,text,possibly_sensitive,id,author_id,conversation_id,in_reply_to_user_id,reply_settings,lang,created_at.x,username,profile_image_url,protected,name,url,verified,created_at.y,location,description,public_metrics.x_retweet_count,public_metrics.x_reply_count,public_metrics.x_like_count,public_metrics.x_quote_count,public_metrics.x_impression_count,public_metrics.y_followers_count,public_metrics.y_following_count,public_metrics.y_tweet_count,public_metrics.y_listed_count,pinned_tweet_id,text_with_display_links,reply.to.thread.no.term,geo_place_id
1,Oil Spill on the Gulf of Mexico. . . . #oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue,True,1079362755352817665,95188073,1079362755352817665,,everyone,en,2018-12-30 13:05:09,hihi0806,https://pbs.twimg.com/profile_images/1614247746961289217/KFF-Kd7g_normal.jpg,False,Hiro,,False,2009-12-07T12:05:12.000Z,  #東京 日本 #Tokyo Japan 🇯🇵,Hi!! ☕️Good to see you!! 🍵Please be sure to enjoy the art.(🌏To Twitter friends around the world🌎) 🐾🙀No DM! 😾 🌏✌️I wish the world eternal peace🌈,4,0,7,0,0,116109,116047,123578,550,7.685942934684426e+17,"Reposting @divyendhu:
Oil Spill on the Gulf of Mexico.
.
.
.
#oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue https://t.co/PRvux7bPEM",,
2,Oil Spill on the Gulf of Mexico. . . . #oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue,False,1079363436130136069,1053787947902758918,1079363436130136069,,everyone,en,2018-12-30 13:07:51,ChungSunPark4,https://pbs.twimg.com/profile_images/1230876758292885505/9-4GIAA-_normal.jpg,False,Chung Sun Park,,False,2018-10-20T23:20:00.000Z,Man from nowhere,attempt me!!!,4,0,0,0,0,6,9,173,0,,"RT @hihi0806: Reposting @divyendhu:
Oil Spill on the Gulf of Mexico.
.
.
.
#oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue https://t.co/PRvux7bPEM",,
3,Oil Spill on the Gulf of Mexico. . . . #oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue,False,1079462270374215681,842498792,1079462270374215681,,everyone,en,2018-12-30 19:40:35,LucilaQuanti,https://pbs.twimg.com/profile_images/424595488793300993/NyShPWe4_normal.jpeg,False,Lucila Quanti,,False,2012-09-23T22:20:25.000Z,,"Me gusta la gente con sentido del humor, alegre, optimista, con empuje y coraje.   * Pics from internet * UF=UF, Block=Block, RT ↔️",4,0,0,0,0,1903,940,113479,91,1.3667557625219318e+18,"RT @hihi0806: Reposting @divyendhu:
Oil Spill on the Gulf of Mexico.
.
.
.
#oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue https://t.co/PRvux7bPEM",,
4,Oil Spill on the Gulf of Mexico. . . . #oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue,False,1342684372009447424,2241627420,1342684372009447424,,everyone,en,2020-12-26 04:11:14,patdefranchis,https://pbs.twimg.com/profile_images/1009980339769561088/5pFhcr0E_normal.jpg,False,Patricia De Franchis,,False,2013-12-12T01:41:19.000Z,"Buenos Aires, Argentina","I love people with a large dose of humor & a refined sense of irony  (Pics not mine) Love & Respect for Animals, Nature. Taking care of ⏩@saravastiares account",4,0,0,0,0,28514,163,484407,361,8.962513672575181e+17,"RT @hihi0806: Reposting @divyendhu:
Oil Spill on the Gulf of Mexico.
.
.
.
#oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue https://t.co/PRvux7bPEM",,
5,Oil Spill on the Gulf of Mexico. . . . #oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue,False,1342687535093473286,146645976,1342687535093473286,,everyone,en,2020-12-26 04:23:48,saravastiares,https://pbs.twimg.com/profile_images/920647277756153856/3w9u_4wx_normal.jpg,False,BB Be kind 💕,https://t.co/UDXW7qzXeP,False,2010-05-22T00:24:43.000Z,"Buenos Aires, Argentina","Have courage & Be Kind. Where there is kindness, there is goodness. And where there is goodness, there is magic #art  #AnimalLover💜 #CatLover 🐾 #nature #BW 📷",4,0,0,0,0,36275,158,552261,495,1.013327984005124e+18,"RT @hihi0806: Reposting @divyendhu:
Oil Spill on the Gulf of Mexico.
.
.
.
#oilpainting #photography #sunset #oilspill #gulfofmexico #portrichey #tampa #florida #pixel2 #teampixel #waterfront #living #home #harbor #ig_color #sky #brush #strokes #nature #gradient #orange #blue https://t.co/PRvux7bPEM",,
6,"🗣️💬 2010 BP Oil Spill. Seen the after effects in Florida for my 3 week vacation. Tampa Bay, Sarasota, St. Petersburg, New Port Richey. Hehe. 🛢️🌊",False,1575234259895218176,1496174892345180160,1574544436264161299,8.601233511545569e+17,everyone,en,2022-09-28 21:21:28,TheShogunGamer,https://pbs.twimg.com/profile_images/1614481518092591104/wc1T3HOM_normal.jpg,False,PSN: TheShowgunGamer ⛩️🏯,https://t.co/JdfXIe9fIV,False,2022-02-22T17:28:17.000Z,"Albany, New York",Video Game Extraordinaire 🎮 Polyamorous ❤ Disabled Rights ♿ Politics 🗣 Film Enthusiast 🎥 Sports Junkie🏅Graphics Designer 🎨 Idealist💡egameboss@gmail.com 📧,0,0,0,0,0,255,263,17565,2,,"@DeadlineWH @McFaul @NicolleDWallace 🗣️💬 2010 BP Oil Spill. Seen the after effects in Florida for my 3-week vacation. Tampa Bay, Sarasota, St. Petersburg, New Port Richey. Hehe. 🛢️🌊",,
1,"The Barataria Bay Bottlenose dolphin population wasn't studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%..",False,949380859404038144,1551101437,949089545953296384,490724761.0,everyone,en,2018-01-05 20:43:30,Quad_Finn,https://pbs.twimg.com/profile_images/896942980900069376/Ija1gs0m_normal.jpg,False,Quad Finn,,False,2013-06-27T17:09:49.000Z,California,"Surfer, Sailor, Cetacean Researcher & Marine Mammal Rescuer",1,0,2,0,0,43739,38832,37063,480,1.0178862434749236e+18,"@jamesapisano The Barataria Bay Bottlenose dolphin population wasn’t studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%.",False,
2,"The Barataria Bay Bottlenose dolphin population wasn't studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%..",False,949425692134973440,2223388843,949425692134973440,,everyone,en,2018-01-05 23:41:39,cldesjarlais,https://pbs.twimg.com/profile_images/1122200532334964736/rM3XCppV_normal.jpg,False,Catherine desjarlais,,False,2013-11-30T16:31:59.000Z,,"Animal rights activist,music lover,sense of humor.",1,0,0,0,0,1904,2032,318893,57,,"RT @Quad_Finn: @jamesapisano The Barataria Bay Bottlenose dolphin population wasn’t studied until after the BP disaster, but before the oil spill it was likely close to that of the Sarasota Bottlenose population, which is 17%.",False,
3,Sarasota Bay's dolphins were used as a control group in the Deepwater Horizon mortality studies. . response restoration noaa gov about media wake deepwater horizon oil spill gulf dolphins found sick and dying larger numbers ever,False,1042301226870702080,14202167,1042297561078366208,14202167.0,everyone,en,2018-09-19 06:35:52,asmallteapot,https://pbs.twimg.com/profile_images/1212932322472841216/9CY3tkJB_normal.jpg,False,ellen teapot 🇨🇦🇺🇸🏳️‍⚧️,https://t.co/hRzr3u9wwy,False,2008-03-23T14:33:27.000Z,British Columbia,ellen teapot | she/her | 🫖 418 i’m a teapot |  @AppStore | ♥︎ @lucaswazowski | https://t.co/t1OWK9QxtS,0,1,0,0,0,3737,969,246052,167,1.2378488967238042e+18,Sarasota Bay’s dolphins were used as a control group in the Deepwater Horizon mortality studies. https://t.co/32DUtjt4XY,False,
4,Oil Ship 4/20/2010 The Horizon Oil Spill In Sarasota and The Gulf and The Birthday Line Up Yeah Life and What I Do For A Living Then Coming Home With China and Then The Bank Connection and Doing Everything and The Whole Frame I Lived And That's It..,False,1060707140422254592,2327017247,1060707140422254592,,everyone,en,2018-11-09 01:34:23,GoDaddyLLC,https://pbs.twimg.com/profile_images/1359408180816715777/5nEyCv9N_normal.jpg,False,Owner of GoDaddy,,False,2014-02-06T00:14:25.000Z,,,0,0,0,0,0,36,71,88766,0,1.4777724492363284e+18,Oil Ship 4/20/2010 The Horizon Oil Spill In Sarasota and The Gulf and The Birthday Line Up Yeah Life and What I Do For A Living Then Coming Home With China and Then The Bank Connection and Doing Everything and The Whole Frame I Lived And That's It.,False,
5,The Gulf Coast Sarasota is a Red Tide and the News focuses on Trump. My Friends and that Economy Stinks since June? What has anyone Done? A Biological Disaster worse than the BP Oil Spill. The New Follows #Trump with awe? I Wash my hands of it and Pray for the Hearts of Youth . Real_Jetson 1066973798052884481 photo 1,False,1066973798052884481,618581414,1066968285458194432,3965004861.0,everyone,en,2018-11-26 08:35:51,JetsonNeal,https://pbs.twimg.com/profile_images/871295605393543168/DFzoAJEo_normal.jpg,False,Jetson Neal,,False,2012-06-26T00:50:20.000Z,"Knoxville, TN",Rock All Day- Rave All Night- Go Goth Till Dawn. If You Wanna Take a Ride-Jump On & Hold On!...I never promised anything-HERE WE GO!- Have the Heart of a Koala,0,2,1,0,0,3114,3051,84039,97,,"@MariaMo32975161 The Gulf Coast -Sarasota is a Red Tide and the News focuses on Trump.  -My Friends and that Economy Stinks since June?

What has anyone Done?
A Biological Disaster worse than the BP Oil Spill.
The New Follows #Trump with awe?
I Wash my hands of it and Pray for the Hearts of Youth https://t.co/DCUzJMtq76",False,
6,"Venice, Fl. my hometown is right on the Gulf! . rightinginjustice 2014 08 01 flesh eating bacteria in gulf linked to bp oil spill",False,1150922394321772544,36465115,1150922394321772544,,everyone,en,2019-07-16 00:17:36,freedomcove,https://pbs.twimg.com/profile_images/692067739259793409/VCMKQEW5_normal.jpg,False,outhouse Kat,,False,2009-04-29T20:12:41.000Z,,,0,0,0,0,0,6,0,1885,0,,"Venice, Fl. my hometown is right on the Gulf! https://t.co/t2Wlza6btc",False,
7,My hometown Venice Fl. is on the Gulf. . rightinginjustice 2014 08 01 flesh eating bacteria in gulf linked to bp oil spill,False,1150923421892710400,36465115,1150923421892710400,,everyone,en,2019-07-16 00:21:41,freedomcove,https://pbs.twimg.com/profile_images/692067739259793409/VCMKQEW5_normal.jpg,False,outhouse Kat,,False,2009-04-29T20:12:41.000Z,,,0,0,0,0,0,6,0,1885,0,,My hometown Venice Fl. is on the Gulf. https://t.co/t2Wlza6btc,False,
8,"There used to be a lot of British petroleum gas stations in Sarasota before the BP oil spill in the Gulf of Mexico. How many out of the number of them had to close? And, did Shell hire them?.",False,1215253202423177216,3008024567,1215253202423177216,,everyone,en,2020-01-09 12:45:16,W1redVanilla,https://pbs.twimg.com/profile_images/1536946577180352514/Er2Jx40C_normal.jpg,False,Kristian Nelson,https://t.co/C5BEav1zNY,False,2015-01-31T17:23:11.000Z,"Florida, USA","B. 1985, Sarasota, FL. Music, Movies, Video Games. I'm in college for an A.S. Network Systems Technology, I want to own a Tesla someday. All things technology!",0,0,0,0,0,97,150,62746,9,1.617972161179947e+18,"There used to be a lot of British petroleum gas stations in Sarasota before the BP oil spill in the Gulf of Mexico. How many out of the number of them had to close?
And, did Shell company hire them?",False,
9,"FYI Spring break has been officially canceled in Pinellas County Florida including Clearwater and surrounding beaches ,ok Sarasota too stay away.the weather's awful we might have red tide or an oil spill who knows it stinks.",False,1239674587572514821,3092501673,1239658522884943874,258885469.0,everyone,en,2020-03-16 22:07:08,barbara_bayw,https://pbs.twimg.com/profile_images/585526144709042176/84K2nvkC_normal.jpg,False,Barbara Wilkerson,,False,2015-03-16T20:36:42.000Z,,,0,0,0,0,0,148,778,1523,0,,"@nickconfessore FYI Spring break has been officially canceled in Pinellas County Florida including Clearwater and surrounding beaches ,ok Sarasota too stay away.the weather's awful we might have red tide or an oil spill who knows it stinks",False,
10,"Beach bank. Same state which suffered billions in loss when 2010 vacationers assumed the Gulf Oil Spill involved Tampa, Clearwater, Sarasota &amp; Naples. It was in Louisiana.",False,1245412485747871744,2790538982,1245405718557216773,19050461.0,everyone,en,2020-04-01 18:07:29,bijancbayne,https://pbs.twimg.com/profile_images/1180134619015983104/Jr6P_9UG_normal.jpg,False,Bijan C. Bayne,https://t.co/6YLDOfZkn2,False,2014-09-04T20:20:31.000Z,"Miami Beach, FL","Producer-screenwriter, @nytimes, ESPN, WaPo, bijanc@hotmail.com, https://t.co/q03aGBOpRb, developing docs about The T.A.M.I. Show, & about the '64 Tokyo Games",0,0,1,0,0,8302,599,254914,181,,"@mikefreemanNFL @JReidESPN Beach bank. Same state which suffered billions in loss when 2010 vacationers assumed the Gulf Oil Spill involved Tampa, Clearwater, Sarasota &amp; Naples. It was in Louisiana",False,
11,Nelson wandering Sarasota beaches still looking for oil deposits from Deepwater Horizon oil spill. #oldfool.,False,1372573022297657345,117582506,1372572419244838913,608827037.0,everyone,en,2021-03-18 15:38:04,GHandstone,https://pbs.twimg.com/profile_images/1392556858557222920/boEcp-kD_normal.jpg,False,gopher handstone,,False,2010-02-26T00:20:08.000Z,USA,"Lay down thy raincoat and Groove.
I need to cling to something. 
de Mangos mon",0,0,0,0,0,210,1238,7695,1,,@MaxNordau Nelson wandering Sarasota beaches still looking for oil deposits from Deepwater Horizon oil spill.  #oldfool,False,
12,"Okay. As you gather to celebrate the 4th of July, just a reminder that In Sarasota Florida they are rallying around Trump, gaining energy, planning their own fireworks. Oh and there's a huge fire and oil leak in the Gulf. Carry on America!.",False,1411460193091784708,409519251,1411460193091784708,,everyone,en,2021-07-03 23:01:48,husbandjlh,https://pbs.twimg.com/profile_images/1608135389121847296/M9HW1NfB_normal.jpg,False,TennisPlaya,,False,2011-11-10T21:16:54.000Z,"Laurel, MS","Tennis Nut,Loves anything near the water. Outgoing.Entrepeneur, Looking to make a difference.",0,0,1,0,0,347,296,14123,2,,"Okay. As you gather to celebrate the 4th of July, just a reminder that In Sarasota Florida they are rallying around Trump, gaining energy, planning their own fireworks. Oh and there’s a huge fire and oil leak in the Gulf. Carry on America!",False,
