Unnamed: 0,text,possibly_sensitive,created_at.x,reply_settings,conversation_id,author_id,lang,id,protected,location,url,profile_image_url,verified,username,created_at.y,name,description,public_metrics.x_retweet_count,public_metrics.x_reply_count,public_metrics.x_like_count,public_metrics.x_quote_count,public_metrics.x_impression_count,public_metrics.y_followers_count,public_metrics.y_following_count,public_metrics.y_tweet_count,public_metrics.y_listed_count,in_reply_to_user_id,pinned_tweet_id,geo_place_id,text_with_display_links,reply.to.thread.no.term
1,"West Pasco’s sensitive maze of marine ecosystem off the Gulf of Mexico took a hit May 4 after 300,000 gallons of #wastewater spilled from a ruptured pipe in New Port Richey’s #sewage treatment plant . https   www tampabay com pasco new port richey plant spills 150000 gallons of wastewater into cross bayou 20190508",False,2019-05-11 23:00:38,everyone,1127347811660500992,1088196428961406976,en,1127347811660500992,False,,https://t.co/AR8sz1dyFZ,https://pbs.twimg.com/profile_images/1088562451866501120/isA81Jbq_normal.jpg,False,awsproject,2019-01-23T22:07:01.000Z,American Water Security Project,"Promoting the need for #sewage and #wastewater #infrastructure upgrades and repairs, #ethical treatment of wastewater, and protection of our nation's waters",0,0,0,0,0,92,95,1368,1,,,,west sensitive maze marine ecosystem gulf mexico hit gallon wastewater spill ruptured pipe sewage treatment plant,False
2,"No major water-quality problems detected following sewage spill last week in New Port Richey 

— Tampa Bay Times (TB_Times) May 15, 2019. https   www tampabay com hernando no major water quality problems detected following sewage spill last week in new port richey 20190515",False,2019-05-15 15:36:15,everyone,1128685531133616128,837333023137927168,en,1128685531133616128,False,"Florida, USA",,https://pbs.twimg.com/profile_images/1247362820494237699/ggxTl8Qq_normal.jpg,False,oosenam,2017-03-02T16:05:24.000Z,Ch oosenam e,forming a shape and a color blah blah blah.,0,0,0,0,0,78,73,3231,0,,,,major water quality problem detect sewage spill week richey tampa bay time tb_times,False
3,"“But even if you remove this one massive spill from the total [300,000 gallons], Pasco County would still have more spilled sewage than all four Tampa Bay counties combined this year.”

Do better.

. https   www cltampa com news views local news article 21081826 tampa bay has spilled nearly 400000 gallons of poop so far this year",False,2019-08-11 15:01:14,everyone,1160566853758050305,17669628,en,1160566853758050305,False,"Tallahassee, FL",https://t.co/bN0yx9bANs,https://pbs.twimg.com/profile_images/1484728581804769281/PT2TxJSi_normal.jpg,False,iamsharpe,2008-11-27T04:29:43.000Z,Ben Sharpe,"Run @evergreenstrat. Past: @NelsonForSenate, @SenBillNelson, @New_BlueDC, @FlaDems, @CATECOMM, @OFA. Opinions are my own, unless others share them.",0,0,2,0,0,5781,4373,71029,172,,,,remove massive spill total gallon pasco spill sewage tampa bay year,False
4,"“But even if you remove this one massive spill from the total, Pasco County would still have more spilled sewage than all four Tampa Bay counties combined this year.”. ",False,2019-08-12 09:59:30,everyone,1160852661505318913,15590584,en,1160853307231019008,False,Brooklyn,https://t.co/3to7TVrsMx,https://pbs.twimg.com/profile_images/1467298196712042503/Lv49pK34_normal.jpg,False,Paul_Lisicky,2008-07-24T23:06:30.000Z,Paul Lisicky,"My seven books include LATER, THE NARROW DOOR, and THE SKY IN IT, forthcoming from HarperOne (he/him) 🏳️‍🌈🦌🐊",0,0,0,0,0,13830,9971,53025,308,15590584.0,1.580181151427498e+18,011add077f4d2da3,remove massive spill total pasco spill sewage tampa bay year,False
5,"According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco (the worst offender in 2019) &amp; Manatee – have dumped an estimated 389,000 gallons of sewage,. ",False,2019-08-12 19:48:02,everyone,1161001416003117056,1339550646,en,1161001417546579968,False,"Florida, USA",,https://pbs.twimg.com/profile_images/1401206949912449026/T0t9tRaX_normal.jpg,False,lenwhitefl,2013-04-09T16:05:04.000Z,Len White,Independent voter seeking truth from objective credible journalists. Against those threatening democracy & advocating minority rule in this country.,0,1,0,0,0,55,64,18620,2,1339550646.0,,,public record pull florida depament environmental protection tampa bay include pinellas pasco bad offender amp manatee dump estimate gallon sewage,False
6,"I had to sit down to read the entire article. OMG.
According to public records pulled from the Florida Department of Environmental Protection, four Tampa Bay counties – including Hillsborough, Pinellas, Pasco &amp; Manatee – have dumped an estimated 389,000 gallons of sewage, . https   twitter com ClwtrBkAtty status 1161947429597523968",False,2019-08-15 11:18:48,everyone,1161960425224884224,947904812393418752,en,1161960425224884224,False,"Ile-de-France, France",,https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg,False,MsResJudicata,2018-01-01T18:58:13.000Z,Stare Decisis,Que sçay-je? I hold it to be an inalienable right of the woke to go to hell in their own way. Family Office/Lawyer/Harry's Caregiver/ LEGAL TRENDS 3 yrs@CBS.,0,3,2,0,0,5156,1954,132307,70,,,,sit read entire aicle omg public record pull florida depament environmental protection tampa bay include pinellas pasco amp manatee dump estimate gallon sewage,False
7,"of which 215,000 gallons were cleaned up, and 174,000 gallons were simply absorbed by the local environment.

For some perspective, last year these same four counties spilled a total of 59,560 gallons of sewage, and 39,596 gallons of that was lost.",False,2019-08-15 11:18:48,everyone,1161960425224884224,947904812393418752,en,1161960427686957057,False,"Ile-de-France, France",,https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg,True,MsResJudicata,2018-01-01T18:58:13.000Z,Stare Decisis,"Lawyer(multiple jurisdictions)/Family Office/Caregiver/
Legal Trends TV host 3 yrs@CBS. Author of the 'Who are you test.’",0,1,1,0,0,4940,2118,138849,73,9.479048123934188e+17,,,nan,True
8,"also only show reported ""sewage"" spills to the FDEP, and not things like spilled wastewater, which is also very common and also very bad (ask St. Pete).",False,2019-08-15 11:18:49,everyone,1161960425224884224,947904812393418752,en,1161960431205986305,False,"Ile-de-France, France",,https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg,True,MsResJudicata,2018-01-01T18:58:13.000Z,Stare Decisis,"Lawyer(multiple jurisdictions)/Family Office/Caregiver/
Legal Trends TV host 3 yrs@CBS. Author of the 'Who are you test.’",0,0,0,0,0,4940,2118,138849,73,9.479048123934188e+17,,,nan,True
9,"These numbers come from a variety of sewage spills, which can occur in a number of ways –  like malfunctioning lift stations, obstructed pipes, or aging infrastructure. It’s also important to note that these figures represent both public and private facilities, and",False,2019-08-15 11:18:49,everyone,1161960425224884224,947904812393418752,en,1161960429448568834,False,"Ile-de-France, France",,https://pbs.twimg.com/profile_images/1553696399925051392/XgZBxhrE_normal.jpg,True,MsResJudicata,2018-01-01T18:58:13.000Z,Stare Decisis,"Lawyer(multiple jurisdictions)/Family Office/Caregiver/
Legal Trends TV host 3 yrs@CBS. Author of the 'Who are you test.’",0,1,1,0,0,4940,2118,138849,73,9.479048123934188e+17,,,nan,True
10,"@MsResJudicata That's alot of 💩. Somebody is gonna be in deep 💩 for that, when the SHTF.",False,2019-08-15 12:13:37,everyone,1161960425224884224,112026753,en,1161974222756831232,False,,,https://pbs.twimg.com/profile_images/889463561763799040/wFmuTzcY_normal.jpg,False,Winging_Pom,2010-02-07T01:00:25.000Z,Tango Oscar,"Don't you wish crisps/chips and sponge cakes remain at 4p/ 6c ?Bankers are stealing our labour and shrinking our cakes and crisps. Merci, Gilet Jaune, woken up.",0,0,0,0,0,170,728,13482,0,9.479048123934188e+17,,,nan,True
